time,aeration_rate,agitator,sugar_feed_rate,acid_flow_rate,base_flow_rate,heating/cooling_water_flow_rate,heating_water_flow_rate,water_for_injection/dilution,air_head_pressure,dumped_broth_flow,substrate_concentration,dissolved_oxygen_concentration,penicillin_concentration,vessel_volume,vessel_weight,pH,temperature,generated_heat,CO2_percent_in_off_gas,PAA_flow,PAA_concentration,oil_flow,NH3_concentration,oxygen_uptake_rate,oxygen_in_percent_in_off_gas,offline_penicillin_concentration,offline_biomass_concentration,carbon_evolution_rate,ammonia_shots,viscosity,Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),experiment_ID,Fault flag
0.2,30,100,8,0.0,1.8267,0.0001,117.83,0,0.6,0,1.0325,14.768,0.001,57903,62254.0,6.4828,297.8,102.93,0.079017,5.0,,22,,-0.59184,0.21591,,,0.030052,0,,0,0,1,98,98,1,98.0,0.0
0.4,30,100,8,0.0,8.7,0.0001,40.545,0,0.6,0,1.0908,14.749,0.0009995,57902,62257.0,6.4798,297.91,132.1,0.088373,5.0,,22,,-0.22233,0.20913,,,0.033611,0,,0,0,1,98,98,1,98.0,0.0
0.6,30,100,8,0.0,17.303,0.0001,0.0001,0,0.6,0,1.1485,14.746,0.00099897,57903,62263.0,6.4884,297.87,123.32,0.091408,5.0,,22,,-0.13593,0.20753,,,0.034765,0,,0,0,1,98,98,1,98.0,0.0
0.8,30,100,8,0.0,22.44,0.0001,62.502,0,0.6,0,1.2051,14.723,0.00099843,57905,62269.0,6.504,298.06,173.75,0.093183,5.0,,22,,-0.10622,0.20697,,,0.035441,0,,0,0,1,98,98,1,98.0,0.0
1.0,30,100,8,0.0,21.325,60.836,6.2502,0,0.6,0,1.2609,14.713,0.00099789,57906,62275.0,6.518,297.99,152.93,0.094748,5.0,1440.7,22,1649.6,-0.096156,0.20678,0.001,0.42862,0.036036,0,4.0775,0,0,1,98,98,1,98.0,0.0
1.2,30,100,8,0.0,14.653,34.818,0.62502,0,0.6,0,1.3158,14.698,0.00099737,57906,62280.0,6.5226,297.92,135.21,0.09632,5.0,,22,,-0.088492,0.20664,,,0.036634,0,,0,0,1,98,98,1,98.0,0.0
1.4,30,100,8,0.0,6.1449,10.445,51.534,0,0.6,0,1.3695,14.676,0.00099688,57905,62283.0,6.5138,298.06,173.39,0.097948,5.0,,22,,-0.078387,0.20645,,,0.037253,0,,0,0,1,98,98,1,98.0,0.0
1.6,30,100,8,0.0,1.2025,57.336,5.1534,0,0.6,0,1.4219,14.672,0.00099641,57903,62285.0,6.4977,297.99,153.59,0.099641,5.0,,22,,-0.075844,0.2064,,,0.037897,0,,0,0,1,98,98,1,98.0,0.0
1.8,30,100,8,0.0,2.6841,32.937,0.51534,0,0.6,0,1.4731,14.657,0.00099593,57900,62287.0,6.4843,297.92,136.85,0.1014,5.0,,22,,-0.070036,0.20628,,,0.038568,0,,0,0,1,98,98,1,98.0,0.0
2.0,30,100,8,0.0,9.4903,9.8812,48.279,0,0.6,0,1.5232,14.642,0.00099543,57900,62291.0,6.4809,298.06,173.44,0.10324,5.0,,22,,-0.06362,0.20616,,,0.039266,0,,0,0,1,98,98,1,98.0,0.0
2.2,30,100,8,0.0,17.632,54.914,4.8279,0,0.6,0,1.5719,14.629,0.0009949,57901,62296.0,6.4893,297.99,153.93,0.10515,5.0,,22,,-0.058345,0.20606,,,0.039991,0,,0,0,1,98,98,1,98.0,20741.0
2.4,30,100,8,0.0,22.388,30.939,0.48279,0,0.6,0,1.6193,14.616,0.00099435,57902,62303.0,6.5037,297.93,138.55,0.10712,5.0,,22,,-0.05323,0.20596,,,0.040745,0,,0,0,1,98,98,1,98.0,21070.0
2.6,30,100,8,0.0,21.405,9.2816,43.737,0,0.6,0,1.6647,14.594,0.00099381,57904,62309.0,6.5163,298.06,172.44,0.10918,5.0,,22,,-0.044191,0.20579,,,0.041527,0,,0,0,1,98,98,1,98.0,21732.0
2.8,30,100,8,0.0,15.421,51.014,4.3737,0,0.6,0,1.7084,14.565,0.00099329,57904,62314.0,6.5201,297.99,154.95,0.11132,5.0,,22,,-0.031262,0.20554,,,0.04234,0,,0,0,1,98,98,1,98.0,22394.0
3.0,30,100,8,0.0,7.9127,29.598,0.43737,0,0.6,0,1.7508,14.546,0.0009928,57903,62317.0,6.5114,297.95,142.35,0.11353,5.0,,22,,-0.021879,0.20536,,,0.043183,0,,0,0,1,98,98,1,98.0,22223.0
3.2,30,100,15,0.0,3.9069,8.8794,38.328,0,0.6,0,1.8059,14.526,0.0009923,57903,62321.0,6.497,298.06,172.92,0.11583,5.0,,22,,-0.013343,0.2052,,,0.044056,0,,0,0,1,98,98,1,98.0,22385.0
3.4,30,100,15,0.0,5.6505,46.775,3.8328,0,0.6,0,1.859,14.511,0.00099178,57903,62326.0,6.4857,298.0,157.33,0.11821,5.0,,22,,-0.0071197,0.20508,,,0.044964,0,,0,0,1,98,98,1,98.0,22214.0
3.6,30,100,15,0.0,11.892,27.981,0.38328,0,0.6,0,1.9105,14.494,0.00099125,57904,62332.0,6.4849,297.96,146.44,0.12069,5.0,,22,,-0.00092367,0.20496,,,0.045907,0,,0,0,1,98,98,1,98.0,20876.0
3.8,30,100,15,0.0,18.4,14.375,0.038328,0,0.6,0,1.9607,14.475,0.0009907,57906,62340.0,6.4942,297.94,140.79,0.12326,5.0,,22,,0.0065591,0.20481,,,0.046884,0,,0,0,1,98,98,1,98.0,20872.0
4.0,30,100,15,0.0,21.208,4.3125,22.64,0,0.6,0,2.0088,14.459,0.00099014,57909,62347.0,6.508,298.01,160.75,0.12592,5.0,,22,,0.012533,0.2047,,,0.047896,0,,0,0,1,98,98,1,98.0,21701.0
4.2,30,100,15,0.0,18.51,28.057,2.264,0,0.6,0,2.0821,14.419,0.00098959,57912,62356.0,6.5159,297.99,153.29,0.12868,5.0,,30,,0.024677,0.20447,,,0.048944,0,,0,0,1,98,98,1,98.0,21363.0
4.4,30,100,15,0.0,12.673,18.369,0.2264,0,0.6,0,2.1529,14.389,0.00098905,57913,62364.0,6.5136,297.97,148.47,0.13153,5.0,,30,,0.037541,0.20422,,,0.050031,0,,0,0,1,98,98,1,98.0,22692.0
4.6,30,100,15,0.0,7.7954,11.826,0.02264,0,0.6,0,2.2215,14.36,0.00098854,57913,62370.0,6.5027,297.96,146.47,0.13449,5.0,,30,,0.050046,0.20398,,,0.051157,0,,0,0,1,98,98,1,98.0,21354.0
4.8,30,100,15,0.0,7.2502,8.1855,0.002264,0,0.6,0,2.2874,14.325,0.00098803,57913,62377.0,6.491,297.96,146.57,0.13756,5.0,,30,,0.064632,0.2037,,,0.052324,0,,0,0,1,98,98,1,98.0,22016.0
5.0,30,100,15,0.0,11.393,6.8956,0.0002264,0,0.6,0,2.3512,14.299,0.0009875,57914,62384.0,6.486,297.97,147.8,0.14074,5.0,,30,,0.075751,0.20349,,,0.053533,0,,0,0,1,98,98,1,98.0,21845.0
5.2,30,100,15,0.0,17.498,7.0268,0.0001,0,0.6,0,2.4129,14.267,0.00098697,57916,62392.0,6.4902,297.97,149.89,0.14404,0.0,,30,,0.088214,0.20325,,,0.054789,0,,0,0,1,98,98,1,98.0,21507.0
5.4,30,100,15,0.0,21.915,8.4204,0.0001,0,0.6,0,2.4721,14.254,0.00098642,57918,62400.0,6.5022,297.98,152.14,0.14746,0.0,,30,,0.092609,0.20316,,,0.056091,0,,0,0,1,98,98,1,98.0,21169.0
5.6,30,100,15,0.0,21.54,10.287,0.0001,0,0.6,0,2.5292,14.227,0.00098588,57920,62409.0,6.5123,297.99,154.35,0.15099,0.0,,30,,0.10145,0.20299,,,0.057434,0,,0,0,1,98,98,1,98.0,21997.0
5.8,30,100,15,0.0,17.139,12.402,0.0001,0,0.6,0,2.5837,14.21,0.00098535,57921,62416.0,6.5152,298.0,156.6,0.15462,0.0,,30,,0.1065,0.20288,,,0.058817,0,,0,0,1,98,98,1,98.0,22159.0
6.0,30,100,15,0.0,11.608,14.893,0.0001,0,0.6,0,2.6357,14.177,0.00098484,57921,62423.0,6.5084,298.01,158.48,0.15837,0.0,,30,,0.11689,0.20268,,,0.060242,0,,0,0,1,98,98,1,98.0,21321.0
6.2,30,100,15,0.0,8.7925,17.21,0.0001,0,0.6,0,2.6847,14.152,0.00098434,57921,62428.0,6.4956,298.01,160.03,0.16223,0.0,,30,,0.12546,0.20251,,,0.061712,0,,0,0,1,98,98,1,98.0,22150.0
6.4,30,100,15,0.0,11.075,19.386,0.0001,0,0.6,0,2.7318,14.125,0.00098384,57920,62435.0,6.486,298.02,161.28,0.16621,0.0,,30,,0.13418,0.20234,,,0.063228,0,,0,0,1,98,98,1,98.0,20812.0
6.6,30,100,15,0.0,17.195,21.405,0.0001,0,0.6,0,2.7761,14.094,0.00098331,57922,62442.0,6.4855,298.02,162.97,0.17032,0.0,,30,,0.14438,0.20214,,,0.064791,0,,0,0,1,98,98,1,98.0,21474.0
6.8,30,100,15,0.0,23.467,24.158,0.0001,0,0.6,0,2.8179,14.066,0.00098276,57924,62451.0,6.493,298.03,164.57,0.17456,0.0,,30,,0.1538,0.20196,,,0.066404,0,,0,0,1,98,98,1,98.0,21302.0
7.0,30,100,15,0.0,26.758,27.031,0.0001,0,0.6,0,2.857,14.027,0.00098219,57927,62460.0,6.5045,298.03,165.73,0.17892,0.0,,30,,0.16766,0.20169,,,0.068064,0,,0,0,1,98,98,1,98.0,22298.0
7.2,30,100,15,0.0,25.458,29.573,0.0001,0,0.6,0,2.8933,13.991,0.00098164,57930,62469.0,6.5157,298.04,166.5,0.18341,0.0,,30,,0.18088,0.20143,,,0.069772,0,,0,0,1,98,98,1,98.0,21793.0
7.4,30,100,15,0.0,19.707,31.769,0.0001,0,0.6,0,2.9265,13.955,0.0009811,57932,62477.0,6.5162,298.04,167.83,0.18804,0.0,,30,,0.19263,0.2012,,,0.071536,0,,0,0,1,98,98,1,98.0,21622.0
7.6,30,100,15,0.0,13.793,34.815,0.0001,0,0.6,0,2.9563,13.912,0.00098059,57932,62484.0,6.5058,298.05,169.21,0.19284,0.0,,30,,0.20689,0.20092,,,0.07336,0,,0,0,1,98,98,1,98.0,22283.0
7.8,30,100,15,0.0,12.013,38.099,0.0001,0,0.6,0,2.983,13.862,0.00098008,57932,62491.0,6.4931,298.05,170.0,0.19779,0.0,,30,,0.22473,0.20058,,,0.075247,0,,0,0,1,98,98,1,98.0,21279.0
8.0,30,100,15,0.0,15.292,40.811,0.0001,0,0.6,0,3.0068,13.82,0.00097956,57933,62498.0,6.4856,298.05,170.81,0.20291,0.0,,30,,0.24067,0.20027,,,0.077194,0,,0,0,1,98,98,1,98.0,22440.0
