time,aeration_rate,agitator,sugar_feed_rate,acid_flow_rate,base_flow_rate,heating/cooling_water_flow_rate,heating_water_flow_rate,water_for_injection/dilution,air_head_pressure,dumped_broth_flow,substrate_concentration,dissolved_oxygen_concentration,penicillin_concentration,vessel_volume,vessel_weight,pH,temperature,generated_heat,CO2_percent_in_off_gas,PAA_flow,PAA_concentration,oil_flow,NH3_concentration,oxygen_uptake_rate,oxygen_in_percent_in_off_gas,offline_penicillin_concentration,offline_biomass_concentration,carbon_evolution_rate,ammonia_shots,viscosity,Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),experiment_ID,Fault flag
0.2,30,100,8,0.0,0.0,0.0001,260.32,0,0.6,0,1.0852,14.739,0.001,57854,62329.0,6.5876,297.62,244.25,0.083768,5.0,,22,,-0.41806,0.21273,,,0.031859,0,,0,0,1,94,94,1,94.0,0.0
0.4,30,100,8,0.0,0.0,0.0001,76.767,0,0.6,0,1.1368,14.719,0.00099954,57852,62331.0,6.5648,297.86,310.2,0.094228,5.0,,22,,-0.16618,0.20808,,,0.035838,0,,0,0,1,94,94,1,94.0,0.0
0.6,30,100,8,0.52287,0.0,0.0001,0.0001,0,0.6,0,1.1865,14.705,0.00099908,57849,62333.0,6.5425,297.84,303.87,0.097744,5.0,,22,,-0.10205,0.20689,,,0.037176,0,,0,0,1,94,94,1,94.0,0.0
0.8,30,100,8,0.0,0.0,0.0001,101.05,0,0.6,0,1.2344,14.669,0.00099861,57846,62334.0,6.5219,298.18,393.1,0.0999,5.0,,22,,-0.071725,0.20632,,,0.037996,0,,0,0,1,94,94,1,94.0,0.0
1.0,30,100,8,0.0,0.0,109.87,10.105,0,0.6,0,1.2805,14.645,0.00099814,57844,62336.0,6.5021,298.05,361.0,0.10185,5.0,1425.4,22,1756.9,-0.055205,0.20601,0.001,0.4738,0.03874,0,4.0801,0,0,1,94,94,1,94.0,0.0
1.2,30,100,8,0.0,0.0,72.316,1.0105,0,0.6,0,1.3247,14.627,0.00099767,57841,62338.0,6.483,297.95,333.09,0.10385,5.0,,22,,-0.045076,0.20582,,,0.039499,0,,0,0,1,94,94,1,94.0,0.0
1.4,30,100,8,0.0,7.3152,21.695,83.628,0,0.6,0,1.3674,14.611,0.00099717,57840,62341.0,6.4732,298.2,400.86,0.10594,5.0,,22,,-0.036856,0.20566,,,0.040292,0,,0,0,1,94,94,1,94.0,0.0
1.6,30,100,8,0.0,18.546,108.48,8.3628,0,0.6,0,1.4077,14.608,0.00099663,57841,62347.0,6.4761,298.09,370.66,0.10812,5.0,,22,,-0.03563,0.20563,,,0.041124,0,,0,0,1,94,94,1,94.0,0.0
1.8,30,100,8,0.0,28.581,75.093,0.83628,0,0.6,0,1.4461,14.588,0.00099606,57844,62354.0,6.4911,297.99,344.85,0.11041,5.0,,22,,-0.028147,0.20549,,,0.041995,0,,0,0,1,94,94,1,94.0,0.0
2.0,30,100,8,0.0,32.606,45.891,0.083628,0,0.6,0,1.4825,14.562,0.00099548,57848,62362.0,6.5107,297.93,327.48,0.1128,5.0,,22,,-0.016558,0.20527,,,0.042904,0,,0,0,1,94,94,1,94.0,0.0
2.2,30,100,8,0.0,28.811,13.767,55.432,0,0.6,0,1.5163,14.54,0.00099491,57851,62370.0,6.5252,298.11,374.38,0.1153,5.0,,22,,-0.0061847,0.20507,,,0.043853,0,,0,0,1,94,94,1,94.0,21407.0
2.4,30,100,8,0.0,19.276,72.388,5.5432,0,0.6,0,1.5481,14.51,0.00099438,57852,62376.0,6.5272,298.03,355.65,0.11791,5.0,,22,,0.0069178,0.20482,,,0.044848,0,,0,0,1,94,94,1,94.0,21902.0
2.6,30,100,8,0.0,8.9422,50.735,0.55432,0,0.6,0,1.5781,14.476,0.00099388,57851,62379.0,6.5154,297.98,341.23,0.12064,5.0,,22,,0.022634,0.20452,,,0.045888,0,,0,0,1,94,94,1,94.0,21398.0
2.8,30,100,8,0.0,3.3553,33.868,0.055432,0,0.6,0,1.6063,14.457,0.00099341,57849,62382.0,6.4963,297.95,332.51,0.12349,5.0,,22,,0.032434,0.20433,,,0.046969,0,,0,0,1,94,94,1,94.0,20727.0
3.0,30,100,8,0.0,5.3641,10.16,40.567,0,0.6,0,1.6319,14.426,0.00099292,57848,62385.0,6.4804,298.09,370.11,0.12644,5.0,,22,,0.045444,0.20408,,,0.048094,0,,0,0,1,94,94,1,94.0,21222.0
3.2,30,100,15,0.0,13.707,57.183,4.0567,0,0.6,0,1.6685,14.391,0.00099238,57849,62391.0,6.4757,298.05,360.37,0.12952,5.0,,22,,0.061365,0.20378,,,0.049265,0,,0,0,1,94,94,1,94.0,21551.0
